Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""dr-1075/""><b>Brother DR-1075</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-1110r/"">HL-1110R</a></div>",1700          ,1500          ,4200,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-1095/""><b>Brother DR-1095</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-mfp-m28a/"">LaserJet MFP M28a</a></div>",1700          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2075/""><b>Brother DR-2075</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/scx-4500/"">SCX-4500</a></div>",1380          ,1200          ,3750,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2080/""><b>Brother DR-2080</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3550/"">WorkCentre 3550</a></div>",1700          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2085/""><b>Brother DR-2085</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-1110r/"">HL-1110R</a></div>",1700          ,1500          ,5570,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2175/""><b>Brother DR-2175</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-cp3525/"">Color LaserJet CP3525</a></div>",1700          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2275/""><b>Brother DR-2275</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",1700          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-2335/""><b>Brother DR-2335</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-l2720dw/"">MFC-L2720dw</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-3100/""><b>Brother DR-3100</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5016/"">WorkCentre 5016</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-3200/""><b>Brother DR-3200</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1100/"">FS-1100</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-320cl/""><b>Brother DR-320CL</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9055/"">DCP 9055</a>, <a href=""/printer/brother/dcp-9270/"">DCP 9270</a>, <a href=""/printer/brother/hl-4140/"">HL 4140</a>, <a href=""/printer/brother/hl-4145/"">HL 4145</a>, <a href=""/printer/brother/hl-4570/"">HL 4570</a>, <a href=""/printer/brother/mfc-9460/"">MFC 9460</a>, <a href=""/printer/brother/mfc-9970/"">MFC 9970</a>, <a href=""/printer/brother/dcp-9055cdn/"">DCP 9055cdn</a>, <a href=""/printer/brother/dcp-9055cdw/"">DCP 9055cdw</a>, <a href=""/printer/brother/dcp-9270cdn/"">DCP 9270cdn</a>, <a href=""/printer/brother/hl-4150cdn/"">HL 4150cdn</a>, <a href=""/printer/brother/hl-4570cdw/"">HL 4570cdw</a>, <a href=""/printer/brother/mfc-9460cdn/"">MFC 9460cdn</a>, <a href=""/printer/brother/mfc-9465cdn/"">MFC 9465cdn</a>, <a href=""/printer/brother/mfc-9970cdw/"">MFC 9970cdw</a></div>",-          ,-          ,13220,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-3300/""><b>Brother DR-3300</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-3300/"">DCP-8110DN</a>, <a href=""/printer/brother/mfc-8520dn/"">MFC-8520DN</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dr-3400/""><b>Brother DR-3400</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-l6300/"">HL-L6300</a></div>",2500          ,2300          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-1075/""><b>Brother TN-1075</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-1112/"">HL-1112</a>, <a href=""/printer/brother/dcp-1510r/"">DCP-1510R</a>, <a href=""/printer/brother/mfc-1810r/"">MFC-1810R</a>, <a href=""/printer/brother/dcp-1512r/"">DCP-1512R</a>, <a href=""/printer/brother/hl-1110r/"">HL-1110R</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-1095/""><b>Brother TN-1095</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-1202r/"">HL-1202R</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2075/""><b>Brother TN-2075</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2030r/"">HL-2030R</a>, <a href=""/printer/brother/hl-2040r/"">HL-2040R</a>, <a href=""/printer/brother/hl-2070nr/"">HL-2070NR</a>, <a href=""/printer/brother/mfc-7420r/"">MFC-7420R</a>, <a href=""/printer/brother/mfc-7820nr/"">MFC-7820NR</a>, <a href=""/printer/brother/dcp-7010r/"">DCP-7010R</a>, <a href=""/printer/brother/dcp-7025r/"">DCP-7025R</a>, <a href=""/printer/brother/fax-2825r/"">Fax-2825R</a>, <a href=""/printer/brother/fax-2920r/"">Fax-2920R</a></div>",1090          ,950          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2075-t/""><b>Brother TN-2075 тех/упаковка</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2080/""><b>Brother TN-2080</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2130/"">HL-2130</a>, <a href=""/printer/brother/dcp-7055/"">DCP-7055</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2085/""><b>Brother TN-2085</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2035r/"">HL-2035R</a>, <a href=""/printer/brother/hl-2035r/"">HL-2035R</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
