Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""c13s050166/""><b>Epson C13S050166</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/epl-6200/"">EPL-6200</a></div>",3200          ,2900          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c13s051099/""><b>Epson C13S051099</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/epl-6200/"">EPL-6200</a></div>",3100          ,2850          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""s050097/""><b>Epson S050097</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/aculaser-c1900/"">AcuLaser C1900</a></div>",-          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""s050098/""><b>Epson S050098</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/aculaser-c1900/"">AcuLaser C1900</a></div>",-          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""s050099/""><b>Epson S050099</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/aculaser-c1900/"">AcuLaser C1900</a></div>",-          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""s050100/""><b>Epson S050100</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/aculaser-c900/"">AcuLaser C900</a>, <a href=""/printer/epson/aculaser-c1900/"">AcuLaser C1900</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""s050167/""><b>Epson S050167</b></a></div>",2430          ,2330          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""s050435/""><b>Epson S050435</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-m2000d/"">AcuLaser M2000D</a></div>",2100          ,1950          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""s050582/""><b>Epson S050582</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-almx20/"">AcuLaser ALMX20</a>, <a href=""/printer/epson/al-alm2400/"">AcuLaser ALM2400</a>, <a href=""/printer/epson/al-alm2300/"">AcuLaser ALM2300</a></div>",2100          ,1950          ,,"<span class=""rini_color-square-black""></span>"
