Картриджи для принтеров,Cовместимый,Unnamed: 2,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""106a/""><b>HP W1106A (106A) БЕЗ ЧИПА</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/laser-107a/"">Laser 107a</a>, <a href=""/printer/hp/laser-mfp-135a/"">Laser MFP 135a</a></div>",1700,1600,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106awc/""><b>HP W1106A (106A) С ЧИПОМ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",2100,2050,6650,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf259x/""><b>HP CF259X (59X) БЕЗ ЧИПА</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/mf449x/"">i-Sensys MF449x</a></div>",1900,1800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf283a/""><b>HP CF283A (№ 83)</b></a><div class=""icons""><span class=""ico-action-small left"" title=""товар участвует в акции""> </span><span class=""left""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-pro-m125nw/"">LaserJet Pro M125NW</a>, <a href=""/printer/hp/lj-pro-m127fn/"">LaserJet Pro M127FN</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf226dn/"">i-SENSYS MF226dn</a></div>",1200,1200,7950,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf218a/""><b>HP CF218A (18A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m104/"">LaserJet Pro M104</a>, <a href=""/printer/hp/ljp-m132fw/"">LaserJet Pro M132fw</a></div>",1600,1500,9660,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce285a/""><b>HP CE285A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-pro-p1102/"">LaserJet Pro P1102</a>, <a href=""/printer/hp/lj-pro-p1102w/"">LaserJet Pro P1102w</a>, <a href=""/printer/hp/ljp-m1132-mfp/"">LaserJet Pro M1132 MFP (МФУ)</a>, <a href=""/printer/hp/p1120/"">P1120</a>, <a href=""/printer/hp/lj-pro-m1212-mfp/"">LaserJet Pro M1212 MFP</a>, <a href=""/printer/hp/lj-pro-m1214nfh/"">LaserJet Pro M1214nfh</a>, <a href=""/printer/hp/lj-pro-m1217nfw/"">LaserJet Pro M1217nfw</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp6030b/"">i-Sensys LBP6030B (8468B006)</a></div>",1290,1190,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf280x/""><b>HP CF280X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-400-m401dn/"">LaserJet Pro 400 M401dn</a></div>",1800,1700,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""q2612a/""><b>HP Q2612A</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-1010/"">LaserJet 1010</a>, <a href=""/printer/hp/lj-1012/"">LaserJet 1012</a>, <a href=""/printer/hp/lj-1015/"">LaserJet 1015</a>, <a href=""/printer/hp/lj-1020/"">LaserJet 1020</a>, <a href=""/printer/hp/lj-1022/"">LaserJet 1022</a>, <a href=""/printer/hp/lj-1022n/"">LaserJet 1022n</a>, <a href=""/printer/hp/lj-1022nw/"">LaserJet 1022nw</a>, <a href=""/printer/hp/lj-3015/"">LaserJet 3015</a>, <a href=""/printer/hp/lj-3020/"">LaserJet 3020</a>, <a href=""/printer/hp/lj-3030/"">LaserJet 3030</a>, <a href=""/printer/hp/lj-3050/"">LaserJet 3050</a>, <a href=""/printer/hp/lj-3050z/"">LaserJet 3050z</a>, <a href=""/printer/hp/lj-3052/"">LaserJet 3052</a>, <a href=""/printer/hp/lj-m1005/"">LaserJet M1005</a>, <a href=""/printer/hp/lj-m1319f/"">LaserJet M1319f</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/ls-lbp2900/"">Laser Shot LBP2900</a>, <a href=""/printer/canon/ls-lbp3000/"">Laser Shot LBP3000</a>, <a href=""/printer/canon/ls-lbp-2900b/"">Laser Shot LBP2900B</a>, <a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-1018/"">LaserJet 1018</a>, <a href=""/printer/hp/lj-3055/"">LaserJet 3055</a></div>",1290,1190,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cb435a/""><b>HP CB435A</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-p1005/"">LaserJet P1005</a>, <a href=""/printer/hp/lj-p1006/"">LaserJet P1006</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-lbp3010/"">i-SENSYS LBP3010</a>, <a href=""/printer/canon/i-sensys-lbp3010b/"">i-SENSYS LBP3010B</a>, <a href=""/printer/canon/i-sensys-lbp3020/"">i-SENSYS LBP3020</a>, <a href=""/printer/canon/i-sensys-lbp3100/"">i-SENSYS LBP3100</a></div>",1290,1190,,"<span class=""rini_color-square-black""></span>"
