Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""kx-fa136a/""><b>Panasonic KX-FA136A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fp101ru/"">KX-FP101RU</a>, <a href=""/printer/panasonic/kx-f969/"">KX-F969</a>, <a href=""/printer/panasonic/kx-f1010/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f1010/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f1010/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f1010/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f101/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f101/"">KX-F1010</a>, <a href=""/printer/panasonic/kx-f1015/"">KX-F1015</a>, <a href=""/printer/panasonic/kx-f1016/"">KX-F1016</a>, <a href=""/printer/panasonic/kx-f1110/"">KX-F1110</a>, <a href=""/printer/panasonic/kx-fm131/"">KX-FM131</a>, <a href=""/printer/panasonic/kx-fm210/"">КX-FM210</a>, <a href=""/printer/panasonic/kx-fm220/"">KX-FM220</a>, <a href=""/printer/panasonic/kx-fm260/"">KX-FM260</a>, <a href=""/printer/panasonic/kx-fm280/"">KX-FM280</a>, <a href=""/printer/panasonic/kx-fmc230/"">KX-FMC230</a>, <a href=""/printer/panasonic/kx-fp105/"">KX-FP105</a>, <a href=""/printer/panasonic/kx-fp200/"">KX-FP200</a>, <a href=""/printer/panasonic/kx-fp250/"">KX-FP250</a>, <a href=""/printer/panasonic/kx-fp258/"">KX-FP258</a>, <a href=""/printer/panasonic/kx-fp270/"">KX-FP270</a>, <a href=""/printer/panasonic/kx-fp278/"">KX-FP278</a></div>",1200          ,1150          ,1750,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa52a/""><b>Panasonic KX-FA52A7</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fc228ru/"">KX-FC228RU</a>, <a href=""/printer/panasonic/kx-fp207ru/"">KX-FP207RU</a>, <a href=""/printer/panasonic/kx-fp218ru/"">KX-FP218RU</a>, <a href=""/printer/panasonic/kx-fp218/"">KX-FP218</a>, <a href=""/printer/panasonic/kx-fc258/"">KX-FC258</a>, <a href=""/printer/panasonic/kx-fc253/"">KX-FC253</a></div>",1250          ,1150          ,1550,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa54a/""><b>Panasonic KX-FA54A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fc233ru/"">KX-FC233RU</a>, <a href=""/printer/panasonic/kx-fc243ru/"">KX-FC243RU</a>, <a href=""/printer/panasonic/kx-fp148ru/"">KX-FP148RU</a>, <a href=""/printer/panasonic/kx-fp143/"">KX-FP143</a></div>",1250          ,1150          ,1450,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa55a/""><b>Panasonic KX-FA55A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3160/"">Phaser 3160</a>, <a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fp80/"">KX-FP80</a>, <a href=""/printer/panasonic/kx-fp81/"">KX-FP81</a>, <a href=""/printer/panasonic/kx-fp82/"">KX-FP82</a>, <a href=""/printer/panasonic/kx-fp85/"">KX-FP85</a>, <a href=""/printer/panasonic/kx-fp86/"">KX-FP86</a>, <a href=""/printer/panasonic/kx-fp88/"">KX-FP88</a>, <a href=""/printer/panasonic/kx-fp152/"">KX-FP152</a>, <a href=""/printer/panasonic/kx-fp153/"">KX-FP153</a>, <a href=""/printer/panasonic/kx-fc166/"">KX-FC166</a>, <a href=""/printer/panasonic/kx-fc175/"">KX-FC175</a>, <a href=""/printer/panasonic/kx-fc176/"">KX-FC176</a>, <a href=""/printer/panasonic/kx-fc178/"">KX-FC178</a>, <a href=""/printer/panasonic/kx-fc195/"">KX-FC195</a>, <a href=""/printer/panasonic/kx-fpc91/"">KX-FPC91</a>, <a href=""/printer/panasonic/kx-fpc95/"">KX-FPC95</a>, <a href=""/printer/panasonic/kx-fpc161/"">KX-FPC161</a>, <a href=""/printer/panasonic/kx-fpc165/"">KX-FPC165</a>, <a href=""/printer/panasonic/kx-fpc166/"">KX-FPC166</a>, <a href=""/printer/panasonic/kx-fpc168/"">KX-FPC168</a>, <a href=""/printer/panasonic/kx-fpc185/"">KX-FPC185</a></div>",1250          ,1200          ,620,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa57a/""><b>Panasonic KX-FA57A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fp343ru/"">KX-FP343RU</a>, <a href=""/printer/panasonic/kx-fp363/"">KX-FP363</a>, <a href=""/printer/panasonic/kx-fb422/"">KX-FB422</a>, <a href=""/printer/panasonic/kx-fb423/"">KX-FB423</a></div>",1150          ,1090          ,1030,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa76/""><b>Panasonic KX-FA76A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-flm553ru/"">KX-FLM553RU</a>, <a href=""/printer/panasonic/kx-flb758ru/"">KX-FLB758RU</a>, <a href=""/printer/panasonic/kx-flb753ru/"">KX-FLB753RU</a>, <a href=""/printer/panasonic//"">KX-FL501</a>, <a href=""/printer/panasonic/kx-fl501/"">KX-FL501</a>, <a href=""/printer/panasonic/kx-fl502/"">KX-FL502</a>, <a href=""/printer/panasonic/kx-fl503/"">KX-FL503</a>, <a href=""/printer/panasonic/kx-fl523/"">KX-FL523</a>, <a href=""/printer/panasonic/kx-flm551/"">KX-FLM551</a>, <a href=""/printer/panasonic/kx-flm552/"">KX-FLM552</a>, <a href=""/printer/panasonic/kx-flb751/"">KX-FLB751</a>, <a href=""/printer/panasonic/kx-flb752/"">KX-FLB752</a></div>",-          ,-          ,1600,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa78a/""><b>Panasonic KX-FA78A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-mb783ru/"">KX-MB783RU</a></div>",-          ,-          ,4430,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa83a/""><b>Panasonic KX-FA83A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fl543/"">KX-FL543</a></div>",1450          ,1350          ,1900,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""kx-fa84a/""><b>Panasonic KX-FA84A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-flm653ru/"">KX-FLM653RU</a>, <a href=""/printer/panasonic/kx-flm663ru/"">KX-FLM663RU</a>, <a href=""/printer/panasonic/kx-fl513ru/"">KX-FL513RU</a>, <a href=""/printer/panasonic/kx-fl543/"">KX-FL543</a></div>",-          ,-          ,6300,"<span class=""rini_color-square-black""></span>"
