Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""109r00725/""><b>Xerox 109R00725</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3115/"">Phaser 3115</a>, <a href=""/printer/xerox/phaser-3120/"">Phaser 3120</a>, <a href=""/printer/xerox/phaser-3121/"">Phaser 3121</a>, <a href=""/printer/xerox/phaser-3130/"">Phaser 3130</a></div>",1600          ,1500          ,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01245/""><b>Xerox 106R01245</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3428/"">Phaser 3428</a>, <a href=""/printer/xerox/phaser-3428d/"">Phaser 3428D</a>, <a href=""/printer/xerox/phaser-3428dn/"">Phaser 3428DN</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ml-3050/"">ML-3050</a>, <a href=""/printer/samsung/ml-3051n/"">ML-3051N</a>, <a href=""/printer/samsung/ml-3051nd/"">ML-3051ND</a></div>",-          ,-          ,4500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01020/""><b>Xerox 006R01020 (5915/5918)</b></a></div>",-          ,-          ,3400,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01044/""><b>Xerox 006R01044 (2 тубы)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pro-315/"">WC PRO 315</a>, <a href=""/printer/xerox/wc-pro-320/"">WC PRO 320</a>, <a href=""/printer/xerox/wc-pro-420/"">WC PRO 420</a>, <a href=""/printer/xerox/wc-pro-415/"">WC PRO 415</a></div>",-          ,-          ,5120,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01046/""><b>Xerox 006R01046</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5632/"">WC 5632</a>, <a href=""/printer/xerox/wc-5735/"">WC 5735</a></div>",-          ,-          ,13370,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01160/""><b>Xerox 006R01160</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5325/"">WorkCentre 5325 MFU</a>, <a href=""/printer/xerox/wc-5330/"">WorkCentre 5330 MFU</a>, <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",1900          ,1850          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01179/""><b>Xerox 006R01179</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/cljp-m177fw/"">Color LaserJet Pro MFP M177fw</a></div>",1750          ,1700          ,5330,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01182/""><b>Xerox 006R01182</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/sl-m4070fr/"">SL-M4070FR</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""006r01276/""><b>Xerox 006R01276</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-4150/"">WorkCentre 4150</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
