Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""0012a6760/""><b>Lexmark 0012A6760</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/t620/"">T620</a></div>","4550          <br/><a href=""#add=1230"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","4450          <br/><a href=""#add=1230&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""12016se/""><b>Lexmark 12016SE (E120)</b></a></div>","2400          <br/><a href=""#add=1206"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","2300          <br/><a href=""#add=1206&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""12a7460/""><b>Lexmark 12A7460</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/t630/"">T630</a>, <a href=""/printer/lexmark/t632/"">T632</a>, <a href=""/printer/lexmark/t634/"">T634</a></div>","4550          <br/><a href=""#add=1231"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","4450          <br/><a href=""#add=1231&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""12A8400/""><b>Lexmark 24016SE (12А8400)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/optra-e230/"">Optra E230</a>, <a href=""/printer/lexmark/optra-e232/"">Optra E232</a>, <a href=""/printer/lexmark/optra-e232n/"">Optra E232n</a>, <a href=""/printer/lexmark/optra-e330/"">Optra E330</a>, <a href=""/printer/lexmark/optra-e332n/"">Optra E332n</a>, <a href=""/printer/lexmark/optra-e332tn/"">Optra E332tn</a></div>","2550          <br/><a href=""#add=499"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","2400          <br/><a href=""#add=499&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""64016se/""><b>Lexmark 64016SE</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/optra-t640/"">Optra T640</a></div>","4550          <br/><a href=""#add=1234"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","4450          <br/><a href=""#add=1234&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""10N0016/""><b>Lexmark 10N0016(№ 16)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/z13/"">Z13</a>, <a href=""/printer/lexmark/x72/"">X72</a></div>","1250          <br/><a href=""#add=863"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","1200          <br/><a href=""#add=863&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""10N0026/""><b>Lexmark 10N0026(№ 26)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/x72/"">X72</a></div>","1250          <br/><a href=""#add=866"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","1200          <br/><a href=""#add=866&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<em style=""background: blue""> </em><em style=""background: red""> </em><em style=""background: yellow""> </em>"
"<div class=""title""><a href=""10n0217/""><b>Lexmark 10N0217 (№ 17)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/epson/""><b>Epson</b></a>:
                  <a href=""/printer/epson/stylus-640/"">Stylus 640</a></div>",-          ,-          ,,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""80d2126/""><b>Lexmark 80D2126 (№16+№26)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/fax-b140/"">Fax-B140</a></div>",-          ,-          ,,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""80D2952/""><b>Lexmark 80D2952(№17+№27)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Lexmark</b></a>:
                  <a href=""/printer/lexmark/x72/"">X72</a></div>",-          ,-          ,,"<span style=""background: black""> </span>"
